Ticker,Company_Name,Industry,Market_Cap_B,Employees,Total_Revenue_B,Research_And_Development_B,Net_Income_B,Total_Debt_B,Free_Cash_Flow_B,R&D_to_Revenue_Pct,Gross_Margin_Pct,Operating_Margin_Pct,Profit_Margin_Pct,Trailing_PE,Forward_PE,Price_to_Book,Beta_Volatility,Institutional_Ownership_Pct,Short_Float_Pct,Dividend_Yield_Pct,52_Week_Change_Pct
NVDA,NVIDIA Corporation,Semiconductors,4306.6,33808.0,215.94,18.5,120.07,11.04,96.68,8.57,71.07,65.02,55.6,36.09,16.62,27.38,2.31,69.65,1.09,2.0,55.35
AAPL,Apple Inc.,Consumer Electronics,3882.9,150000.0,416.16,34.55,112.01,98.66,98.77,8.3,47.33,35.37,26.92,33.44,28.41,44.04,1.11,65.18,0.91,39.0,10.99
GOOGL,Alphabet Inc.,Internet Content & Information,3771.36,190820.0,402.84,61.09,132.17,59.29,73.27,15.16,59.65,31.57,32.81,28.81,23.24,9.08,1.09,80.77,1.26,27.0,86.67
MSFT,Microsoft Corporation,Software - Infrastructure,2918.99,228000.0,281.72,32.49,101.83,60.59,71.61,11.53,68.59,47.09,36.15,24.58,20.84,7.46,1.08,75.86,0.76,93.0,1.09
AMZN,"Amazon.com, Inc.",Internet Retail,2254.33,37719.0,716.92,0.0,77.67,152.99,7.7,0.0,50.29,10.53,10.83,29.33,22.49,5.48,1.38,67.21,0.9,0.0,2.43
TSM,Taiwan Semiconductor Manufactur,Semiconductors,1942.76,0.0,3809.05,246.43,1717.88,1064.58,992.38,6.47,59.89,53.92,45.1,35.34,20.84,56.06,1.27,15.79,0.38,94.0,116.56
META,"Meta Platforms, Inc.",Internet Content & Information,1639.61,78865.0,200.97,57.37,60.46,83.9,46.11,28.55,82.0,41.31,30.08,27.63,18.07,7.55,1.28,78.49,1.24,32.0,-1.05
AVGO,Broadcom Inc.,Semiconductors,1515.07,32621.0,63.89,10.98,23.13,65.14,26.91,17.19,77.33,31.77,36.2,67.13,22.01,5.4,1.22,79.28,1.19,81.0,70.54
V,Visa Inc.,Credit Services,617.24,0.0,40.0,0.0,20.06,25.17,21.58,0.0,97.78,68.3,50.15,30.03,22.04,15.98,0.78,90.73,1.58,84.0,-11.52
TCEHY,Tencent Holding Ltd.,Internet Content & Information,592.69,115076.0,660.26,0.0,194.07,358.11,162.47,0.0,55.49,32.95,29.39,20.28,13.95,3.48,0.88,0.24,0.0,87.0,7.56
ASML,ASML Holding N.V. - New York Re,Semiconductor Equipment & Materials,569.58,32377.0,32.67,4.7,9.61,4.39,11.03,14.39,52.83,35.3,29.42,49.74,32.93,24.15,1.46,18.7,0.29,61.0,107.26
MU,"Micron Technology, Inc.",Semiconductors,464.13,32414.0,37.38,3.8,8.54,15.28,1.67,10.17,45.31,44.97,22.85,39.2,9.26,7.9,1.5,82.21,2.75,11.0,355.46
MA,Mastercard Incorporated,Credit Services,461.58,39800.0,32.79,0.0,14.97,19.0,16.43,0.0,100.0,57.73,45.65,31.35,22.85,59.77,0.82,90.98,0.81,67.0,-10.04
ORCL,Oracle Corporation,Software - Infrastructure,417.89,162000.0,57.4,9.86,12.44,104.1,-0.39,17.18,68.54,32.0,21.67,27.33,18.33,13.95,1.63,44.32,1.97,138.0,-10.26
NFLX,"Netflix, Inc.",Entertainment,408.24,16000.0,45.18,3.39,10.98,14.46,9.46,7.5,48.49,24.54,24.3,38.04,25.16,15.27,1.71,83.74,1.98,0.0,-1.16
BABA,Alibaba Group Holding Limited,Internet Retail,344.04,39900.0,996.35,57.15,130.11,248.11,77.54,5.74,41.17,2.17,13.06,18.94,16.31,2.21,0.39,11.84,1.96,73.0,10.17
PLTR,Palantir Technologies Inc.,Software - Infrastructure,328.11,4429.0,4.48,0.56,1.63,0.23,2.1,12.5,82.37,40.9,36.38,217.76,74.23,44.41,1.69,61.73,2.35,0.0,64.46
AMD,"Advanced Micro Devices, Inc.",Semiconductors,326.42,31000.0,34.64,8.09,4.34,3.85,6.74,23.35,52.49,17.06,12.53,77.0,18.47,5.18,1.95,72.19,1.89,0.0,103.82
CSCO,"Cisco Systems, Inc.",Communication Equipment,313.95,86200.0,56.65,9.3,10.18,28.09,13.29,16.42,64.81,24.87,17.97,28.58,17.6,6.58,0.86,81.95,1.4,211.0,25.17
AMAT,"Applied Materials, Inc.",Semiconductor Equipment & Materials,295.46,35500.0,28.37,3.57,7.0,7.05,5.7,12.58,48.72,29.89,24.67,38.18,27.0,13.6,1.68,85.38,1.86,49.0,144.72
LRCX,Lam Research Corporation,Semiconductor Equipment & Materials,293.77,32266.0,18.44,2.1,5.36,4.48,5.41,11.39,49.8,33.87,29.07,48.13,33.96,28.84,1.78,88.85,2.95,44.0,208.64
INTC,Intel Corporation,Semiconductors,227.83,85100.0,52.85,13.77,-0.27,46.58,-4.95,26.05,36.56,5.14,-0.51,32.66,46.02,1.99,1.38,61.99,2.36,0.0,100.57
IBM,International Business Machines,Information Technology Services,224.53,264300.0,0.0,0.0,0.0,58.4,11.76,0.0,58.19,24.77,0.0,21.54,17.9,6.89,0.69,65.67,2.34,280.0,-3.99
KLAC,KLA Corporation,Semiconductor Equipment & Materials,200.31,15000.0,12.16,1.36,4.06,6.09,3.74,11.18,61.57,41.31,33.39,44.45,32.95,36.58,1.46,93.76,2.48,50.0,120.58
TXN,Texas Instruments Incorporated,Semiconductors,192.73,33000.0,17.68,2.08,5.0,14.05,2.6,11.76,57.02,33.37,28.28,38.92,26.82,11.82,1.0,91.65,3.01,268.0,9.12
CRM,"Salesforce, Inc.",Software - Application,185.44,0.0,37.9,5.49,6.2,11.39,12.43,14.49,77.68,19.24,16.36,25.97,13.08,3.08,1.28,84.25,2.1,90.0,-33.53
UBER,"Uber Technologies, Inc.",Software - Application,156.71,34000.0,52.02,3.4,10.05,12.08,9.76,6.54,38.5,12.35,19.32,15.95,17.59,5.77,1.21,85.13,2.66,0.0,1.32
QCOM,QUALCOMM Incorporated,Semiconductors,152.05,52000.0,44.28,9.04,5.54,14.81,12.82,20.42,55.1,27.47,12.51,28.76,12.67,6.63,1.24,81.58,3.69,250.0,-7.33
PDD,PDD Holdings Inc.,Internet Retail,147.26,23465.0,393.84,12.66,112.43,10.61,120.96,3.21,56.65,23.11,28.55,10.34,8.17,2.54,-0.01,33.02,3.35,0.0,-7.88
ARM,Arm Holdings plc,Semiconductors,135.35,32153.0,4.01,2.07,0.79,0.36,0.16,51.62,97.5,15.38,19.7,169.93,59.06,17.36,4.37,94.9,12.31,0.0,5.24
ACN,Accenture plc,Information Technology Services,129.44,32666.0,69.67,0.0,7.68,8.18,10.87,0.0,31.97,16.97,11.02,17.24,13.99,4.16,1.24,82.7,2.76,312.0,-39.5
GLW,Corning Incorporated,Electronic Components,129.02,67200.0,15.63,1.11,1.6,9.38,1.41,7.1,35.98,16.56,10.24,82.17,38.89,10.92,1.12,74.91,1.98,74.0,211.67
PANW,"Palo Alto Networks, Inc.",Software - Infrastructure,121.52,17027.0,9.22,1.98,1.13,0.34,3.47,21.48,73.5,15.42,12.26,82.73,37.39,11.15,0.75,73.66,2.81,0.0,-18.92
NOW,"ServiceNow, Inc.",Software - Application,113.97,29187.0,13.28,2.96,1.75,2.4,4.53,22.29,77.53,16.51,13.18,64.68,21.56,8.73,0.98,89.62,2.61,0.0,-40.67
INTU,Intuit Inc.,Software - Application,113.87,18200.0,18.83,2.93,3.87,6.64,6.08,15.56,80.9,15.7,20.55,28.09,15.5,5.94,1.22,89.97,3.41,110.0,-31.95
ADBE,Adobe Inc.,Software - Application,109.84,31360.0,23.77,4.29,7.13,6.65,9.85,18.05,89.27,36.5,30.0,15.72,9.94,9.32,1.52,86.95,3.02,0.0,-40.46
SPOT,Spotify Technology S.A.,Internet Content & Information,106.02,7000.0,17.19,1.39,2.21,1.96,2.87,8.09,31.98,15.47,12.86,41.49,26.83,10.78,1.67,68.61,4.31,0.0,-14.16
WDC,Western Digital Corporation,Computer Hardware,95.63,40000.0,9.52,0.99,1.86,4.71,1.28,10.4,42.72,15.4,19.54,26.46,20.8,13.37,1.84,103.58,10.53,18.0,494.98
CRWD,"CrowdStrike Holdings, Inc.",Software - Infrastructure,93.78,10410.0,3.95,1.08,-0.02,0.79,1.07,27.34,74.28,-5.59,-0.51,32.66,76.95,23.35,1.03,75.73,3.04,0.0,-2.81
STX,Seagate Technology Holdings PLC,Computer Hardware,88.94,32193.0,9.1,0.72,1.47,5.0,0.82,7.91,38.78,29.95,16.15,46.08,20.56,193.84,1.64,89.28,6.45,73.0,307.6
CDNS,"Cadence Design Systems, Inc.",Software - Application,82.18,13800.0,5.3,1.77,1.11,2.62,1.59,33.4,86.36,32.82,20.94,74.05,32.1,14.96,1.0,90.12,2.09,0.0,24.68
ABNB,"Airbnb, Inc.",Travel Services,81.0,8200.0,12.24,2.35,2.51,2.07,4.65,19.2,82.96,9.68,20.51,33.53,23.23,9.92,1.14,86.39,3.65,0.0,-4.16
SNPS,"Synopsys, Inc.",Software - Infrastructure,79.21,28000.0,7.05,2.48,1.33,14.29,1.35,35.18,82.02,13.34,18.87,51.3,24.26,2.59,1.13,90.84,2.3,0.0,-6.6
DASH,"DoorDash, Inc.",Internet Retail,76.66,31400.0,13.72,1.43,0.94,3.29,1.83,10.42,51.83,5.26,6.85,82.46,22.53,7.64,1.8,98.1,2.91,0.0,-10.92
NTES,"NetEase, Inc.",Electronic Gaming & Multimedia,73.95,0.0,0.0,0.0,0.0,12.82,37.47,0.0,64.29,30.2,0.0,15.07,11.26,15.66,0.92,9.83,0.67,259.0,18.98
MRVL,"Marvell Technology, Inc.",Semiconductors,69.28,7042.0,5.77,1.95,-0.88,4.34,1.39,33.8,50.71,17.73,-15.25,28.76,24.15,4.93,1.98,83.83,4.53,29.0,-4.82
NET,"Cloudflare, Inc.",Software - Infrastructure,60.59,0.0,0.0,0.0,0.0,1.46,0.17,0.0,74.51,-7.66,0.0,32.66,119.17,41.52,1.98,89.84,3.08,0.0,20.49
FTNT,"Fortinet, Inc.",Software - Infrastructure,60.56,15109.0,0.0,0.0,0.0,0.99,1.88,0.0,80.46,32.77,0.0,32.66,23.85,47.44,1.05,71.59,2.76,0.0,-25.82
SNOW,Snowflake Inc.,Software - Application,57.63,0.0,3.63,1.78,-1.29,2.69,0.88,49.04,67.06,-24.42,-35.54,32.66,70.08,29.96,1.15,78.03,3.91,0.0,-3.02
NXPI,NXP Semiconductors N.V.,Semiconductors,57.36,32169.0,12.27,2.36,2.02,12.22,2.28,19.23,55.38,26.3,16.46,28.55,13.54,5.71,1.46,99.08,4.39,179.0,4.84
